Entry Number,Hotel Name,Region,Hotel Type,Star Rating,Check-in Date,Season,Total Revenue,Occupancy Rate (%),Customer Rating (1-5),Feedback Category,Customer Comments
H672,The Grand Oak,California,Luxury,5,5/14/2024,Spring,20790,90.94,4.3,Cleanliness,Hygiene standards were top notch.
H673,Seaside Shores,Florida,Resort,4,5/14/2024,Spring,14730,79.45,4.3,Amenities,Lots of extras included.
H674,Metro Meridian,New York,Business,5,5/14/2024,Spring,85170,74.32,4.9,Food,Tasty and well-prepared dishes.
H675,Budget Haven,Texas,Budget,3,5/14/2024,Spring,14630,82.88,4.3,Amenities,Top-notch amenities with everything you need.
H676,Mountain Retreat,Colorado,Boutique,3,5/15/2024,Spring,93450,74.43,5,Amenities,Lots of extras included.
H677,The Grand Oak,California,Luxury,5,5/15/2024,Spring,76170,97.76,3.7,Cleanliness,A little bit of trash was still left in trash can.
H678,Seaside Shores,Florida,Resort,4,5/15/2024,Spring,44780,90.23,4.5,Service,Staff went above and beyond.
H679,Metro Meridian,New York,Business,5,5/15/2024,Spring,102660,99.35,3.7,Food,Breakfast was limited but decent.
H680,Budget Haven,Texas,Budget,3,5/15/2024,Spring,24710,91.48,5,Cleanliness,Hygiene standards were top notch.
H681,Mountain Retreat,Colorado,Boutique,3,5/16/2024,Spring,19710,81.01,4.4,Service,Very responsive front desk.
H682,The Grand Oak,California,Luxury,5,5/16/2024,Spring,15100,74,4.7,Cleanliness,So clean it felt brand new.
H683,Seaside Shores,Florida,Resort,4,5/16/2024,Spring,101990,86.88,4.1,Food,Food took a while to arrive.
H684,Metro Meridian,New York,Business,5,5/16/2024,Spring,67880,70.72,5,Amenities,Top-notch amenities with everything you need.
H685,Budget Haven,Texas,Budget,3,5/16/2024,Spring,102900,73.34,4.5,Cleanliness,Hygiene standards were top notch.
H686,Mountain Retreat,Colorado,Boutique,3,5/17/2024,Spring,16170,97.64,4.3,Cleanliness,Cleaned twice a day – amazing!
H687,The Grand Oak,California,Luxury,5,5/17/2024,Spring,123050,99.97,3.9,Amenities,Modern amenities and comfortable spaces.
H688,Seaside Shores,Florida,Resort,4,5/17/2024,Spring,16080,77.83,3.6,Cleanliness,Had to dust a bit but overall room was clean.
H689,Metro Meridian,New York,Business,5,5/17/2024,Spring,60320,90.15,3.9,Amenities,Modern amenities and comfortable spaces.
H690,Budget Haven,Texas,Budget,3,5/17/2024,Spring,103580,81.52,4.7,Cleanliness,Cleaned twice a day – amazing!
H691,Mountain Retreat,Colorado,Boutique,3,5/18/2024,Spring,13080,81.15,4.1,Location,Close to restaurants and nightlife.
H692,The Grand Oak,California,Luxury,5,5/18/2024,Spring,80670,98.05,4.8,Amenities,Lots of extras included.
H693,Seaside Shores,Florida,Resort,4,5/18/2024,Spring,69070,82.13,3.6,Food,Breakfast was limited but decent.
H694,Metro Meridian,New York,Business,5,5/18/2024,Spring,25160,86.7,4.1,Food,Food took a while to arrive.
H695,Budget Haven,Texas,Budget,3,5/18/2024,Spring,113950,99.49,3.7,Service,"Staff was helpful, though not always available."
H696,Mountain Retreat,Colorado,Boutique,3,5/19/2024,Spring,103500,72.94,4.7,Cleanliness,So clean it felt brand new.
H697,The Grand Oak,California,Luxury,5,5/19/2024,Spring,91460,88.56,4.1,Food,Breakfast was limited but decent.
H698,Seaside Shores,Florida,Resort,4,5/19/2024,Spring,51480,90.59,4.5,Cleanliness,So clean it felt brand new.
H699,Metro Meridian,New York,Business,5,5/19/2024,Spring,89880,81.06,5,Service,Exceptional staff and warm hospitality.
H700,Budget Haven,Texas,Budget,3,5/19/2024,Spring,45640,99.06,4.7,Service,Always greeted with a smile.
H701,Mountain Retreat,Colorado,Boutique,3,5/20/2024,Spring,117400,96.35,4.3,Service,Always greeted with a smile.
H702,The Grand Oak,California,Luxury,5,5/20/2024,Spring,121460,74.81,3.7,Cleanliness,Had to dust a bit but overall room was clean.
H703,Seaside Shores,Florida,Resort,4,5/20/2024,Spring,94100,84.35,4,Cleanliness,A little bit of trash was still left in trash can.
H704,Metro Meridian,New York,Business,5,5/20/2024,Spring,89980,82.92,3.6,Amenities,Modern amenities and comfortable spaces.
H705,Budget Haven,Texas,Budget,3,5/20/2024,Spring,69770,81.87,4,Food,Food took a while to arrive.
H706,Mountain Retreat,Colorado,Boutique,3,5/21/2024,Spring,26700,77.88,5,Cleanliness,Hygiene standards were top notch.
H707,The Grand Oak,California,Luxury,5,5/21/2024,Spring,92780,95.78,5,Cleanliness,Hygiene standards were top notch.
H708,Seaside Shores,Florida,Resort,4,5/21/2024,Spring,120490,77.18,4,Location,Perfect spot for our trip.
H709,Metro Meridian,New York,Business,5,5/21/2024,Spring,30800,78.96,3.3,Amenities,Some amenities were broken or missing.
H710,Budget Haven,Texas,Budget,3,5/21/2024,Spring,91260,95.93,3.8,Cleanliness,Clean enough for a short stay.
H711,Mountain Retreat,Colorado,Boutique,3,5/22/2024,Spring,55800,90.23,3.6,Cleanliness,Room could smell a little better.
H712,The Grand Oak,California,Luxury,5,5/22/2024,Spring,50280,93.8,3.1,Service,Slow check-in.
H713,Seaside Shores,Florida,Resort,4,5/22/2024,Spring,92060,75,5,Service,Exceptional staff and warm hospitality.
H714,Metro Meridian,New York,Business,5,5/22/2024,Spring,41910,82.91,3.7,Food,Breakfast was limited but decent.
H715,Budget Haven,Texas,Budget,3,5/22/2024,Spring,74150,94.17,4.3,Cleanliness,Cleaned twice a day – amazing!
H716,Mountain Retreat,Colorado,Boutique,3,5/23/2024,Spring,105100,87.58,4.6,Cleanliness,Cleaned twice a day – amazing!
H717,The Grand Oak,California,Luxury,5,5/23/2024,Spring,70100,78.62,3.4,Food,Limited vegetarian options.
H718,Seaside Shores,Florida,Resort,4,5/23/2024,Spring,27660,83.26,4.7,Amenities,Lots of extras included.
H719,Metro Meridian,New York,Business,5,5/23/2024,Spring,122260,73.73,4,Cleanliness,Room was mostly clean.
H720,Budget Haven,Texas,Budget,3,5/23/2024,Spring,44150,72.57,4.7,Food,Loved every meal served.
H721,Mountain Retreat,Colorado,Boutique,3,5/24/2024,Spring,78280,82.47,4.7,Service,Always greeted with a smile.
H722,The Grand Oak,California,Luxury,5,5/24/2024,Spring,84740,89.24,3.7,Cleanliness,Had to dust a bit but overall room was clean.
H723,Seaside Shores,Florida,Resort,4,5/24/2024,Spring,105340,83.69,4.3,Cleanliness,Cleaned twice a day – amazing!
H724,Metro Meridian,New York,Business,5,5/24/2024,Spring,61820,74.12,3.7,Service,"Staff was helpful, though not always available."
H725,Budget Haven,Texas,Budget,3,5/24/2024,Spring,55160,81.43,4,Cleanliness,Room could smell a little better.
H726,Mountain Retreat,Colorado,Boutique,3,5/25/2024,Spring,59870,71.4,4,Amenities,Modern amenities and comfortable spaces.
H727,The Grand Oak,California,Luxury,5,5/25/2024,Spring,103020,84.28,4,Cleanliness,Clean enough for a short stay.
H728,Seaside Shores,Florida,Resort,4,5/25/2024,Spring,118020,87.92,3.6,Food,Limited but decent selection.
H729,Metro Meridian,New York,Business,5,5/25/2024,Spring,76700,79.35,4.1,Cleanliness,Room was mostly clean.
H730,Budget Haven,Texas,Budget,3,5/25/2024,Spring,46780,83.9,4.2,Cleanliness,Cleaned twice a day – amazing!
H731,Mountain Retreat,Colorado,Boutique,3,5/26/2024,Spring,101780,76.05,3.2,Service,Slow check-in.
H732,The Grand Oak,California,Luxury,5,5/26/2024,Spring,9570,75.72,4.4,Food,Tasty and well-prepared dishes.
H733,Seaside Shores,Florida,Resort,4,5/26/2024,Spring,52580,99.57,4.7,Location,Excellent for walking everywhere.
H734,Metro Meridian,New York,Business,5,5/26/2024,Spring,7680,77.87,4.6,Amenities,Top-notch amenities with everything you need.
H735,Budget Haven,Texas,Budget,3,5/26/2024,Spring,62800,76.42,4.9,Cleanliness,Hygiene standards were top notch.
H736,Mountain Retreat,Colorado,Boutique,3,5/27/2024,Spring,121650,91.31,3.9,Cleanliness,Clean enough for a short stay.
H737,The Grand Oak,California,Luxury,5,5/27/2024,Spring,116460,86.7,4.7,Service,Very responsive front desk.
H738,Seaside Shores,Florida,Resort,4,5/27/2024,Spring,116150,97.82,4.7,Amenities,Lots of extras included.
H739,Metro Meridian,New York,Business,5,5/27/2024,Spring,59870,87.83,4.3,Service,Exceptional staff and warm hospitality.
H740,Budget Haven,Texas,Budget,3,5/27/2024,Spring,111380,91.4,4.5,Cleanliness,So clean it felt brand new.
H741,Mountain Retreat,Colorado,Boutique,3,5/28/2024,Spring,12350,90.26,3.2,Amenities,Some amenities were broken or missing.
H742,The Grand Oak,California,Luxury,5,5/28/2024,Spring,17000,78.52,3.8,Food,Limited but decent selection.
H743,Seaside Shores,Florida,Resort,4,5/28/2024,Spring,87990,70.42,3.4,Cleanliness,Found small hairs on carpet.
H744,Metro Meridian,New York,Business,5,5/28/2024,Spring,85150,71.36,4.2,Cleanliness,Clean enough for a short stay.
H745,Budget Haven,Texas,Budget,3,5/28/2024,Spring,36490,81.75,3.1,Amenities,"Felt like a hostel, not a hotel."
H746,Mountain Retreat,Colorado,Boutique,3,5/29/2024,Spring,72470,82.66,4.8,Amenities,"Loved the spa, gym, and pool."
H747,The Grand Oak,California,Luxury,5,5/29/2024,Spring,15140,81.57,4.4,Amenities,Lots of extras included.
H748,Seaside Shores,Florida,Resort,4,5/29/2024,Spring,108150,81.51,4.6,Cleanliness,Hygiene standards were top notch.
H749,Metro Meridian,New York,Business,5,5/29/2024,Spring,18360,89.03,4.4,Food,Tasty and well-prepared dishes.
H750,Budget Haven,Texas,Budget,3,5/29/2024,Spring,95050,84.14,4.3,Amenities,Top-notch amenities with everything you need.
H751,Mountain Retreat,Colorado,Boutique,3,5/30/2024,Spring,118680,99.7,3.5,Amenities,Top-notch amenities with everything you need.
H752,The Grand Oak,California,Luxury,5,5/30/2024,Spring,41400,88.75,5,Cleanliness,Hygiene standards were top notch.
H753,Seaside Shores,Florida,Resort,4,5/30/2024,Spring,64640,98.65,3.7,Cleanliness,A little bit of trash was still left in trash can.
H754,Metro Meridian,New York,Business,5,5/30/2024,Spring,84800,85.43,4.6,Cleanliness,So clean it felt brand new.
H755,Budget Haven,Texas,Budget,3,5/30/2024,Spring,81730,87.91,2.4,Amenities,"Felt like a hostel, not a hotel."
H756,Mountain Retreat,Colorado,Boutique,3,5/31/2024,Spring,66430,70.42,4.6,Cleanliness,Cleaned twice a day – amazing!
H757,The Grand Oak,California,Luxury,5,5/31/2024,Spring,59790,93.61,4.4,Amenities,Lots of extras included.
H758,Seaside Shores,Florida,Resort,4,5/31/2024,Spring,93050,79.91,4.2,Service,Always greeted with a smile.
H759,Metro Meridian,New York,Business,5,5/31/2024,Spring,56670,76.03,5,Cleanliness,Hygiene standards were top notch.
H760,Budget Haven,Texas,Budget,3,5/31/2024,Spring,121210,70.84,4.2,Amenities,Top-notch amenities with everything you need.
H761,Mountain Retreat,Colorado,Boutique,3,6/1/2024,Summer,122610,84.32,5,Amenities,Lots of extras included.
H762,The Grand Oak,California,Luxury,5,6/1/2024,Summer,64420,93.82,4,Cleanliness,Clean enough for a short stay.
H763,Seaside Shores,Florida,Resort,4,6/1/2024,Summer,7140,80.94,3.8,Food,Breakfast was limited but decent.
H764,Metro Meridian,New York,Business,5,6/1/2024,Summer,12230,83.95,3.1,Cleanliness,Room looked better than hallway.
H765,Budget Haven,Texas,Budget,3,6/1/2024,Summer,8610,73.5,4.3,Food,Loved every meal served.
H766,Mountain Retreat,Colorado,Boutique,3,6/2/2024,Summer,8040,79.26,4.1,Service,"Staff was helpful, though not always available."
H767,The Grand Oak,California,Luxury,5,6/2/2024,Summer,76310,86.62,3.8,Food,Limited but decent selection.
H768,Seaside Shores,Florida,Resort,4,6/2/2024,Summer,14010,97.37,3.8,Cleanliness,Had to dust a bit but overall room was clean.
H769,Metro Meridian,New York,Business,5,6/2/2024,Summer,64340,81.78,4.1,Cleanliness,Clean enough for a short stay.
H770,Budget Haven,Texas,Budget,3,6/2/2024,Summer,63000,94.77,4.4,Service,Exceptional staff and warm hospitality.
H771,Mountain Retreat,Colorado,Boutique,3,6/3/2024,Summer,43700,86.43,4.1,Cleanliness,Room was mostly clean.
H772,The Grand Oak,California,Luxury,5,6/3/2024,Summer,20520,79.64,4.6,Amenities,Lots of extras included.
H773,Seaside Shores,Florida,Resort,4,6/3/2024,Summer,13810,98.03,4.3,Amenities,Lots of extras included.
H774,Metro Meridian,New York,Business,5,6/3/2024,Summer,80530,70.69,4.1,Cleanliness,Had to dust a bit but overall room was clean.
H775,Budget Haven,Texas,Budget,3,6/3/2024,Summer,83360,70.62,4.6,Service,Exceptional staff and warm hospitality.
H776,Mountain Retreat,Colorado,Boutique,3,6/4/2024,Summer,60860,83.12,4.6,Service,Exceptional staff and warm hospitality.
H777,The Grand Oak,California,Luxury,5,6/4/2024,Summer,123060,93.38,4,Cleanliness,A little bit of trash was still left in trash can.
H778,Seaside Shores,Florida,Resort,4,6/4/2024,Summer,100570,81.8,5,Service,Always greeted with a smile.
H779,Metro Meridian,New York,Business,5,6/4/2024,Summer,48810,86.23,4.5,Food,Delicious meals with a lot of variety.
H780,Budget Haven,Texas,Budget,3,6/4/2024,Summer,49960,86.17,3.6,Food,Breakfast was limited but decent.
H781,Mountain Retreat,Colorado,Boutique,3,6/5/2024,Summer,27740,82.72,3.9,Food,Breakfast was limited but decent.
H782,The Grand Oak,California,Luxury,5,6/5/2024,Summer,93370,94.79,4.8,Cleanliness,Cleaned twice a day – amazing!
H783,Seaside Shores,Florida,Resort,4,6/5/2024,Summer,20720,74.17,4.5,Service,Exceptional staff and warm hospitality.
H784,Metro Meridian,New York,Business,5,6/5/2024,Summer,34110,81.74,4.6,Service,Always greeted with a smile.
H785,Budget Haven,Texas,Budget,3,6/5/2024,Summer,35020,77.65,4.8,Amenities,Top-notch amenities with everything you need.
H786,Mountain Retreat,Colorado,Boutique,3,6/6/2024,Summer,116440,99.95,4.9,Amenities,Convenient and top-quality amenities.
H787,The Grand Oak,California,Luxury,5,6/6/2024,Summer,10890,81.65,4.3,Service,Always greeted with a smile.
H788,Seaside Shores,Florida,Resort,4,6/6/2024,Summer,41540,82.76,4.2,Service,Exceptional staff and warm hospitality.
H789,Metro Meridian,New York,Business,5,6/6/2024,Summer,18000,80.42,4.4,Food,Loved every meal served.
H790,Budget Haven,Texas,Budget,3,6/6/2024,Summer,111360,94.32,5,Amenities,Top-notch amenities with everything you need.
H791,Mountain Retreat,Colorado,Boutique,3,6/7/2024,Summer,23320,84.73,5,Amenities,Lots of extras included.
H792,The Grand Oak,California,Luxury,5,6/7/2024,Summer,12110,81.71,4.1,Food,Breakfast was limited but decent.
H793,Seaside Shores,Florida,Resort,4,6/7/2024,Summer,79390,94.07,3.9,Cleanliness,Had to dust a bit but overall room was clean.
H794,Metro Meridian,New York,Business,5,6/7/2024,Summer,43960,92.27,4.1,Cleanliness,Had to dust a bit but overall room was clean.
H795,Budget Haven,Texas,Budget,3,6/7/2024,Summer,89480,93.71,4,Food,Food took a while to arrive.
H796,Mountain Retreat,Colorado,Boutique,3,6/8/2024,Summer,9680,80.93,3.9,Food,Food took a while to arrive.
H797,The Grand Oak,California,Luxury,5,6/8/2024,Summer,21970,80.91,3.3,Amenities,Okay. Nothing special.
H798,Seaside Shores,Florida,Resort,4,6/8/2024,Summer,84000,75.45,4,Cleanliness,Had to dust a bit but overall room was clean.
H799,Metro Meridian,New York,Business,5,6/8/2024,Summer,19470,84.95,3.4,Amenities,Okay. Nothing special.
H800,Budget Haven,Texas,Budget,3,6/8/2024,Summer,74440,96.01,3.2,Amenities,Some amenities were broken or missing.
H801,Mountain Retreat,Colorado,Boutique,3,6/9/2024,Summer,104740,82.09,4.4,Cleanliness,Hygiene standards were top notch.
H802,The Grand Oak,California,Luxury,5,6/9/2024,Summer,64330,84.71,4.6,Cleanliness,Cleaned twice a day – amazing!
H803,Seaside Shores,Florida,Resort,4,6/9/2024,Summer,47140,74.49,5,Service,Exceptional staff and warm hospitality.
H804,Metro Meridian,New York,Business,5,6/9/2024,Summer,76810,85.37,4.6,Food,Tasty and well-prepared dishes.
H805,Budget Haven,Texas,Budget,3,6/9/2024,Summer,36740,96.11,4.7,Food,Tasty and well-prepared dishes.
H806,Mountain Retreat,Colorado,Boutique,3,6/10/2024,Summer,56110,97,4.4,Food,Tasty and well-prepared dishes.
H807,The Grand Oak,California,Luxury,5,6/10/2024,Summer,111070,78.35,4.6,Cleanliness,So clean it felt brand new.
H808,Seaside Shores,Florida,Resort,4,6/10/2024,Summer,115390,91.98,4,Amenities,Modern amenities and comfortable spaces.
H809,Metro Meridian,New York,Business,5,6/10/2024,Summer,102940,74.86,4.2,Amenities,Top-notch amenities with everything you need.
H810,Budget Haven,Texas,Budget,3,6/10/2024,Summer,114850,76.33,2.7,Service,Slow check-in.
H811,Mountain Retreat,Colorado,Boutique,3,6/11/2024,Summer,46070,91.67,3.7,Cleanliness,Room was mostly clean.
H812,The Grand Oak,California,Luxury,5,6/11/2024,Summer,99030,75.98,4.8,Cleanliness,Hygiene standards were top notch.
H813,Seaside Shores,Florida,Resort,4,6/11/2024,Summer,69810,96.4,3.8,Cleanliness,Hygiene standards were top notch.
H814,Metro Meridian,New York,Business,5,6/11/2024,Summer,7900,80.43,4,Amenities,All amenities in great working condition.
H815,Budget Haven,Texas,Budget,3,6/11/2024,Summer,109560,74.23,5,Cleanliness,So clean it felt brand new.
H816,Mountain Retreat,Colorado,Boutique,3,6/12/2024,Summer,111130,80.67,3.9,Food,Limited but decent selection.
H817,The Grand Oak,California,Luxury,5,6/12/2024,Summer,64220,84.9,4.7,Service,Staff went above and beyond.
H818,Seaside Shores,Florida,Resort,4,6/12/2024,Summer,48590,73.79,3,Cleanliness,Found small hairs on carpet.
H819,Metro Meridian,New York,Business,5,6/12/2024,Summer,36820,90.4,3.1,Amenities,Okay. Nothing special.
H820,Budget Haven,Texas,Budget,3,6/12/2024,Summer,52590,78.34,4.6,Cleanliness,Cleaned twice a day – amazing!
H821,Mountain Retreat,Colorado,Boutique,3,6/13/2024,Summer,123080,79.04,4.2,Cleanliness,So clean it felt brand new.
H822,The Grand Oak,California,Luxury,5,6/13/2024,Summer,27680,90.11,3.7,Cleanliness,Clean enough for a short stay.
H823,Seaside Shores,Florida,Resort,4,6/13/2024,Summer,42110,75.84,3.8,Food,Limited but decent selection.
H824,Metro Meridian,New York,Business,5,6/13/2024,Summer,59900,86.53,4.6,Cleanliness,Hygiene standards were top notch.
H825,Budget Haven,Texas,Budget,3,6/13/2024,Summer,27350,80.28,3.6,Amenities,Modern amenities and comfortable spaces.
H826,Mountain Retreat,Colorado,Boutique,3,6/14/2024,Summer,33200,82.19,3.7,Food,Breakfast was limited but decent.
H827,The Grand Oak,California,Luxury,5,6/14/2024,Summer,26020,78.16,5,Amenities,Top-notch amenities with everything you need.
H828,Seaside Shores,Florida,Resort,4,6/14/2024,Summer,55520,75.09,5,Cleanliness,Super clean everywhere we went.
H829,Metro Meridian,New York,Business,5,6/14/2024,Summer,66810,93.15,4.5,Service,Staff went above and beyond.
H830,Budget Haven,Texas,Budget,3,6/14/2024,Summer,11780,84.14,5,Amenities,Top-notch amenities with everything you need.
H831,Mountain Retreat,Colorado,Boutique,3,6/15/2024,Summer,86070,75.31,4.4,Service,Always greeted with a smile.
H832,The Grand Oak,California,Luxury,5,6/15/2024,Summer,36140,84.59,4.2,Cleanliness,So clean it felt brand new.
H833,Seaside Shores,Florida,Resort,4,6/15/2024,Summer,72970,73.88,4.9,Food,Tasty and well-prepared dishes.
H834,Metro Meridian,New York,Business,5,6/15/2024,Summer,97850,85.26,4.8,Cleanliness,So clean it felt brand new.
H835,Budget Haven,Texas,Budget,3,6/15/2024,Summer,82550,92.17,4.5,Service,Always greeted with a smile.
H836,Mountain Retreat,Colorado,Boutique,3,6/16/2024,Summer,119020,72.87,4.2,Amenities,Lots of extras included.
H837,The Grand Oak,California,Luxury,5,6/16/2024,Summer,43590,82.36,5,Service,Staff went above and beyond.
H838,Seaside Shores,Florida,Resort,4,6/16/2024,Summer,102000,80.35,3.6,Cleanliness,A little bit of trash was still left in trash can.
H839,Metro Meridian,New York,Business,5,6/16/2024,Summer,69330,74.57,5,Amenities,Lots of extras included.
H840,Budget Haven,Texas,Budget,3,6/16/2024,Summer,70930,90.39,4.1,Amenities,Modern amenities and comfortable spaces.
H841,Mountain Retreat,Colorado,Boutique,3,6/17/2024,Summer,94100,99.86,4.5,Service,Always greeted with a smile.
H842,The Grand Oak,California,Luxury,5,6/17/2024,Summer,40560,80.24,3.5,Cleanliness,Had to dust a bit but overall room was clean.
H843,Seaside Shores,Florida,Resort,4,6/17/2024,Summer,7900,93.1,3.8,Food,Limited but decent selection.
H844,Metro Meridian,New York,Business,5,6/17/2024,Summer,96180,78.74,4.7,Service,Exceptional staff and warm hospitality.
H845,Budget Haven,Texas,Budget,3,6/17/2024,Summer,86730,78.4,3.2,Cleanliness,Found small hairs on carpet.
H846,Mountain Retreat,Colorado,Boutique,3,6/18/2024,Summer,63480,83.51,3.9,Cleanliness,Had to dust a bit but overall room was clean.
H847,The Grand Oak,California,Luxury,5,6/18/2024,Summer,29440,92.68,3.9,Cleanliness,Had to dust a bit but overall room was clean.
H848,Seaside Shores,Florida,Resort,4,6/18/2024,Summer,35100,87.71,3.8,Amenities,"Loved the spa, gym, and pool."
H849,Metro Meridian,New York,Business,5,6/18/2024,Summer,55560,92.98,4.5,Amenities,Lots of extras included.
H850,Budget Haven,Texas,Budget,3,6/18/2024,Summer,80430,87.62,4.6,Cleanliness,Cleaned twice a day – amazing!
H851,Mountain Retreat,Colorado,Boutique,3,6/19/2024,Summer,54270,74.46,4.1,Amenities,Modern amenities and comfortable spaces.
H852,The Grand Oak,California,Luxury,5,6/19/2024,Summer,108130,86.47,4.6,Service,Always greeted with a smile.
H853,Seaside Shores,Florida,Resort,4,6/19/2024,Summer,93750,95.42,4.5,Amenities,Top-notch amenities with everything you need.
H854,Metro Meridian,New York,Business,5,6/19/2024,Summer,71510,92.41,4.4,Service,Always greeted with a smile.
H855,Budget Haven,Texas,Budget,3,6/19/2024,Summer,30800,79.33,3.7,Food,Breakfast was limited but decent.
H856,Mountain Retreat,Colorado,Boutique,3,6/20/2024,Summer,9530,95.05,3.4,Cleanliness,Found small hairs on carpet.
H857,The Grand Oak,California,Luxury,5,6/20/2024,Summer,123810,84.61,5,Cleanliness,Cleaned twice a day – amazing!
H858,Seaside Shores,Florida,Resort,4,6/20/2024,Summer,15290,88.6,3.1,Food,Didn't match the 5 star reviews
H859,Metro Meridian,New York,Business,5,6/20/2024,Summer,90390,88.72,4.2,Food,Tasty and well-prepared dishes.
H860,Budget Haven,Texas,Budget,3,6/20/2024,Summer,8640,72.25,3.9,Food,Food took a while to arrive.
H861,Mountain Retreat,Colorado,Boutique,3,6/21/2024,Summer,69090,78.8,5,Amenities,Lots of extras included.
H862,The Grand Oak,California,Luxury,5,6/21/2024,Summer,107890,74.93,4.8,Service,Staff went above and beyond.
H863,Seaside Shores,Florida,Resort,4,6/21/2024,Summer,116940,96.4,3.9,Food,Limited but decent selection.
H864,Metro Meridian,New York,Business,5,6/21/2024,Summer,42710,76.89,4.1,Service,"Staff was helpful, though not always available."
H865,Budget Haven,Texas,Budget,3,6/21/2024,Summer,51910,78.83,4.3,Cleanliness,So clean it felt brand new.
H866,Mountain Retreat,Colorado,Boutique,3,6/22/2024,Summer,84360,83.49,2.5,Food,Food was average.
H867,The Grand Oak,California,Luxury,5,6/22/2024,Summer,19680,92.7,4.4,Food,Tasty and well-prepared dishes.
H868,Seaside Shores,Florida,Resort,4,6/22/2024,Summer,34240,70.52,4.7,Cleanliness,Cleaned twice a day – amazing!
H869,Metro Meridian,New York,Business,5,6/22/2024,Summer,100670,81.09,4.6,Amenities,Lots of extras included.
H870,Budget Haven,Texas,Budget,3,6/22/2024,Summer,56450,86.83,4.4,Amenities,Lots of extras included.
H871,Mountain Retreat,Colorado,Boutique,3,6/23/2024,Summer,29470,99.69,5,Service,Always greeted with a smile.
H872,The Grand Oak,California,Luxury,5,6/23/2024,Summer,35870,96.12,4.4,Food,Tasty and well-prepared dishes.
H873,Seaside Shores,Florida,Resort,4,6/23/2024,Summer,55990,87.23,3.9,Food,Breakfast was limited but decent.
H874,Metro Meridian,New York,Business,5,6/23/2024,Summer,105360,96.34,2.9,Amenities,Some amenities were broken or missing.
H875,Budget Haven,Texas,Budget,3,6/23/2024,Summer,89980,91.97,3.7,Amenities,Modern amenities and comfortable spaces.
H876,Mountain Retreat,Colorado,Boutique,3,6/24/2024,Summer,89650,88.01,4.6,Cleanliness,So clean it felt brand new.
H877,The Grand Oak,California,Luxury,5,6/24/2024,Summer,57840,96.49,4.2,Service,Exceptional staff and warm hospitality.
H878,Seaside Shores,Florida,Resort,4,6/24/2024,Summer,27860,97.98,4.1,Service,"Staff was helpful, though not always available."
H879,Metro Meridian,New York,Business,5,6/24/2024,Summer,38700,72.65,4.6,Amenities,Top-notch amenities with everything you need.
H880,Budget Haven,Texas,Budget,3,6/24/2024,Summer,73490,77.02,2.9,Amenities,"Felt like a hostel, not a hotel."
H881,Mountain Retreat,Colorado,Boutique,3,6/25/2024,Summer,11450,80.06,3.8,Cleanliness,Room could smell a little better.
H882,The Grand Oak,California,Luxury,5,6/25/2024,Summer,47540,84.45,3.9,Food,Limited but decent selection.
H883,Seaside Shores,Florida,Resort,4,6/25/2024,Summer,36010,77.16,3.9,Service,"Staff was helpful, though not always available."
H884,Metro Meridian,New York,Business,5,6/25/2024,Summer,96650,78.83,4.2,Amenities,Top-notch amenities with everything you need.
H885,Budget Haven,Texas,Budget,3,6/25/2024,Summer,45460,81.71,3.8,Food,Yummy breakfast options.
H886,Mountain Retreat,Colorado,Boutique,3,6/26/2024,Summer,31880,78.58,5,Cleanliness,So clean it felt brand new.
H887,The Grand Oak,California,Luxury,5,6/26/2024,Summer,71490,84.44,4.3,Service,Exceptional staff and warm hospitality.
H888,Seaside Shores,Florida,Resort,4,6/26/2024,Summer,80360,91.93,4.1,Cleanliness,Room could smell a little better.
H889,Metro Meridian,New York,Business,5,6/26/2024,Summer,117100,79.99,5,Food,Tasty and well-prepared dishes.
H890,Budget Haven,Texas,Budget,3,6/26/2024,Summer,57580,99.07,3.6,Amenities,Modern amenities and comfortable spaces.
H891,Mountain Retreat,Colorado,Boutique,3,6/27/2024,Summer,88510,75.21,4.7,Cleanliness,Cleaned twice a day – amazing!
H892,The Grand Oak,California,Luxury,5,6/27/2024,Summer,99890,70.96,4.8,Cleanliness,So clean it felt brand new.
H893,Seaside Shores,Florida,Resort,4,6/27/2024,Summer,46200,75.69,3.5,Cleanliness,Room could smell a little better.
H894,Metro Meridian,New York,Business,5,6/27/2024,Summer,89890,73.88,4.5,Amenities,Lots of extras included.
H895,Budget Haven,Texas,Budget,3,6/27/2024,Summer,87140,92.77,4.7,Cleanliness,Cleaned twice a day – amazing!
H896,Mountain Retreat,Colorado,Boutique,3,6/28/2024,Summer,48250,87.31,4.8,Food,Tasty and well-prepared dishes.
H897,The Grand Oak,California,Luxury,5,6/28/2024,Summer,21040,96.38,3.8,Cleanliness,A little bit of trash was still left in trash can.
H898,Seaside Shores,Florida,Resort,4,6/28/2024,Summer,69000,87.81,3.6,Cleanliness,Room was mostly clean.
H899,Metro Meridian,New York,Business,5,6/28/2024,Summer,60510,89.26,4.6,Cleanliness,Hygiene standards were top notch.
H900,Budget Haven,Texas,Budget,3,6/28/2024,Summer,89060,97.32,3.8,Cleanliness,A little bit of trash was still left in trash can.
H901,Mountain Retreat,Colorado,Boutique,3,6/29/2024,Summer,91830,84.59,4.2,Service,Staff went above and beyond.
